 ID,Name,Duration,Start,Finish,Predecessors,Resources,Custom 1,Custom 2,Custom 3,Custom 4,Custom 5,
1,Music Solution Hub,546days,12/25/2023,01/26/2026,,,,,,,,
2,Development,419days,12/25/2023,07/31/2025,,"BE-1,BE-2,FE-1,FE-2,QA-1,DevOps-1",,,,,,
3,User Account and Profiles,97days,12/25/2023,05/07/2024,,,,,,,,
4,REST API,44days,12/25/2023,02/22/2024,,BE-1,,,,,,
5,Login,4days,12/25/2023,12/28/2023,,BE-1,,,,,,
6,Registration,4days,12/29/2023,01/03/2024,5,BE-1,,,,,,
7,Musician,12days,01/04/2024,01/19/2024,,BE-1,,,,,,
8,Band Musician Profile,6days,01/04/2024,01/11/2024,6,BE-1,,,,,,
9,Solo Musician Profile,6days,01/12/2024,01/19/2024,8,BE-1,,,,,,
10,Studio Profile,6days,01/22/2024,01/29/2024,9,BE-1,,,,,,
11,Practice Pad profile,6days,01/30/2024,02/06/2024,10,BE-1,,,,,,
12,Music Shop Profile,6days,02/07/2024,02/14/2024,11,BE-1,,,,,,
13,General User Profile,6days,02/15/2024,02/22/2024,12,BE-1,,,,,,
14,Frontend,53days,02/23/2024,05/07/2024,,FE-1,,,,,,
15,Login,5days,02/23/2024,02/29/2024,13,FE-1,,,,,,
16,Registration,6days,03/01/2024,03/08/2024,15,FE-1,,,,,,
17,Musician,14days,03/11/2024,03/28/2024,,FE-1,,,,,,
18,Band Musician Profile,7days,03/11/2024,03/19/2024,16,FE-1,,,,,,
19,Solo Musician Profile,7days,03/20/2024,03/28/2024,18,FE-1,,,,,,
20,Studio Profile,7days,03/29/2024,04/08/2024,19,FE-1,,,,,,
21,Practice Pad profile,7days,04/09/2024,04/17/2024,20,FE-1,,,,,,
22,Music Shop Profile,7days,04/18/2024,04/26/2024,21,FE-1,,,,,,
23,General User Profile,7days,04/29/2024,05/07/2024,22,FE-1,,,,,,
24,Studio,98days,12/25/2023,05/08/2024,,"BE-2,FE-2",,,,,,
25,REST API,66days,12/25/2023,03/25/2024,,BE-2,,,,,,
26,Dashboard,7days,12/25/2023,01/02/2024,,BE-2,,,,,,
27,Read List,5days,01/03/2024,01/09/2024,26,BE-2,,,,,,
28,Update Profile,7days,01/10/2024,01/18/2024,27,BE-2,,,,,,
29,"Update Slots , Pricing",5days,01/19/2024,01/25/2024,28,BE-2,,,,,,
30,"Upload Image, Video and Details",5days,01/26/2024,02/01/2024,29,BE-2,,,,,,
31,Booking Request Management,5days,02/02/2024,02/08/2024,30,BE-2,,,,,,
32,Review and Comment,5days,02/09/2024,02/15/2024,31,BE-2,,,,,,
33,Search Filter,10days,02/16/2024,02/29/2024,32,BE-2,,,,,,
34,Cart,7days,03/01/2024,03/11/2024,33,BE-2,,,,,,
35,Payment Platform,10days,03/12/2024,03/25/2024,34,BE-2,,,,,,
36,Frontend,54days,02/23/2024,05/08/2024,,FE-2,,,,,,
